OTU ID,Blackberry root,Blackberry rhizosphere,Blueberry root,Blueberry rhizosphere
"k__Fungi,p__Monoblepharomycota,c__Monoblepharidomycetes,o__unidentified,f__unidentified",0,1,0,0
"k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliales_fam_Incertae_sedis",0,1,0,0
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__unidentified,f__unidentified",0,1,0,0
"k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__Alphamycetaceae",0,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Crepidotaceae",1,1,0,0
"k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,f__unidentified",1,1,0,0
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Pisorisporiales,f__Pisorisporiaceae",0,1,0,0
"k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Tremellales_fam_Incertae_sedis",0,1,0,0
"k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__unidentified",1,1,0,0
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Ceratocystidaceae",0,1,0,0
"k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Platygloeales,__",0,1,0,0
"k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS08,f__unidentified",0,1,0,0
"k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Rhynchogastremataceae",1,1,0,0
"k__Fungi,p__Kickxellomycota,c__Kickxellomycetes,o__Kickxellales,f__Kickxellaceae",0,1,0,0
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Myrmecridiales,f__Myrmecridiaceae",1,1,0,0
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__unidentified",0,1,0,0
"k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Claroideoglomeraceae",1,1,0,0
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Phomatosporales,f__Phomatosporaceae",0,1,0,0
"k__Fungi,p__Chytridiomycota,c__Spizellomycetes,o__Spizellomycetales,f__Spizellomycetaceae",0,1,0,0
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Erysiphales,f__Erysiphaceae",1,1,0,0
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Bartaliniaceae",0,1,0,0
"k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanoromycetes_ord_Incertae_sedis,f__Micropeltidaceae",0,1,0,0
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Magnaporthales,f__Magnaporthaceae",1,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Irpicaceae",0,1,0,0
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Chaetomellaceae",1,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae",0,1,0,0
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__Onygenaceae",1,1,0,0
"k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Ambisporaceae",1,1,0,0
"k__Fungi,p__Glomeromycota,c__Archaeosporomycetes,o__Archaeosporales,f__Archaeosporaceae",0,1,0,0
"k__Fungi,p__Blastocladiomycota,c__unidentified,o__unidentified,f__unidentified",1,1,0,0
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Myriangiales,f__Myriangiales_fam_Incertae_sedis",0,1,0,0
"k__Fungi,p__Olpidiomycota,c__GS18,__,__",1,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Amylocorticiales,f__Amylocorticiaceae",1,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Coniophoraceae",0,1,0,0
"k__Fungi,p__Chytridiomycota,c__Rhizophydiomycetes,o__Rhizophydiales,f__unidentified",0,1,0,0
"k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Sarcoscyphaceae",0,1,0,0
"k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae",1,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Boletales_fam_Incertae_sedis",1,1,0,0
"k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Helvellaceae",1,1,0,0
"k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS07,f__unidentified",1,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__unidentified",1,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Sclerodermataceae",1,1,0,0
"k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae",1,1,0,0
"k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS06,f__unidentified",1,1,0,0
"k__Fungi,p__Ascomycota,c__Arthoniomycetes,o__Lichenostigmatales,f__Phaeococcomycetaceae",1,1,0,0
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Onygenales,f__unidentified",1,1,0,0
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Paxillaceae",0,0,0,1
"k__Fungi,p__Ascomycota,c__Lecanoromycetes,o__Lecanorales,f__Lecanoraceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Valsariales,f__Valsariaceae",1,1,0,1
"k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Sarcosomataceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Corynesporascaceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Capnodiaceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,__",0,1,0,1
"k__Fungi,p__Basidiomycota,c__Malasseziomycetes,o__Malasseziales,f__Malasseziaceae",1,0,1,1
"k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__unidentified,f__unidentified",1,1,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Pleurotheciales,f__Pleurotheciaceae",0,1,0,1
"k__Fungi,p__Basidiomycota,c__Ustilaginomycetes,o__Urocystidales,f__Urocystidaceae",0,0,0,1
"k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Entylomatales,f__Entylomataceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariomycetes_ord_Incertae_sedis,f__Sordariomycetes_fam_Incertae_sedis",0,0,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Cystofilobasidiales,f__Cystofilobasidiaceae",1,1,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Pluteaceae",0,1,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Stereaceae",0,0,0,1
"k__Fungi,p__Mucoromycota,c__Mucoromycetes,o__Mucorales,f__Rhizopodaceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Melanosporales,f__Melanosporaceae",0,1,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Branch06,f__unidentified",1,1,0,1
"k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,__",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Filobasidiales,f__unidentified",0,0,0,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Russulales_fam_Incertae_sedis",0,1,0,1
