#OTU ID,Blackberry root,Blackberry rhizosphere,Blueberry root,Blueberry rhizosphere
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Leptodontidium",1,1,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,__,__,__",1,1,1,1
"k__Fungi,p__Rozellomycota,c__unidentified,o__unidentified,f__unidentified,g__unidentified",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Ramariopsis",0,0,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Hyaloscyphaceae,__",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hymenogastraceae,g__Naucoria",0,0,1,1
"k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Tremellaceae,g__Filobasidiella",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Leucosporidiales,f__unidentified,g__unidentified",1,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__unidentified,g__unidentified",1,1,1,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__unidentified,g__unidentified",1,1,1,1
"k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__unidentified",1,1,1,1
"k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Boletaceae,g__Boletus",0,0,1,1
"k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,__,__",1,1,1,1
"k__Fungi,p__Mucoromycota,c__Umbelopsidomycetes,o__Umbelopsidales,f__Umbelopsidaceae,g__Umbelopsis",1,1,1,1
"k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS04,f__unidentified,g__unidentified",0,1,0,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Chaetosphaeriales,f__Chaetosphaeriaceae,g__Chloridium",0,1,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__Fimetariella",0,0,1,1
"k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Ilyonectria",1,1,1,1
"k__Fungi,p__Chytridiomycota,__,__,__,__",0,1,0,1
"k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Venturiaceae,g__Sympodiella",1,1,1,1
"k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiales_fam_Incertae_sedis,g__Coleophoma",1,1,1,1
